timestamp,device_ip,log_id,message
,,,root@osool-infra-01:/var/log/switches# cat ip-10.1.1.16.log
Aug  6 09:40:53,10.1.1.16,446477,*Aug  6 09:52:36.986: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: divakard] [Source: 10.110.5.157] [localport: 22] at 12:52:36 KSA Wed Aug 6 2025
Aug  6 09:41:32,10.1.1.16,446478,*Aug  6 09:53:15.736: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 524 msec (runtime: 520 msec) to process a 'stack chasfs fd' message
Aug  6 09:41:34,10.1.1.16,446479,*Aug  6 09:53:18.002: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 828 msec (runtime: 828 msec) to process a 'stack chasfs fd' message
Aug  6 09:42:25,10.1.1.16,446480,*Aug  6 09:54:09.249: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 400 msec (runtime: 400 msec) to process a 'stack chasfs fd' message
Aug  6 09:43:18,10.1.1.16,446481,*Aug  6 09:55:01.527: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1004 msec (runtime: 980 msec) to process a 'stack chasfs fd' message
Aug  6 09:44:10,10.1.1.16,446482,*Aug  6 09:55:52.584: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 372 msec (runtime: 372 msec) to process a 'stack chasfs fd' message
Aug  6 09:45:01,10.1.1.16,446483,*Aug  6 09:56:44.862: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 516 msec (runtime: 516 msec) to process a 'stack chasfs fd' message
Aug  6 09:45:55,10.1.1.16,446484,*Aug  6 09:57:38.374: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 280 msec (runtime: 280 msec) to process a 'stack chasfs fd' message
Aug  6 09:46:15,10.1.1.16,446485,"*Aug  6 09:57:59.089: %SYS-6-TTY_EXPIRE_TIMER: (exec timer expired, tty 2 (10.110.5.157)), user divakard"
Aug  6 09:46:15,10.1.1.16,446486,*Aug  6 09:57:59.090: %SYS-6-LOGOUT: User divakard has exited tty session 2(10.110.5.157)
Aug  6 09:46:47,10.1.1.16,446487,*Aug  6 09:58:30.651: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 864 msec (runtime: 864 msec) to process a 'stack chasfs fd' message
Aug  6 09:47:40,10.1.1.16,446488,*Aug  6 09:59:23.968: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 428 msec (runtime: 428 msec) to process a 'stack chasfs fd' message
Aug  6 09:48:30,10.1.1.16,446489,*Aug  6 10:00:13.977: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 832 msec (runtime: 824 msec) to process a 'stack chasfs fd' message
Aug  6 09:50:16,10.1.1.16,446490,*Aug  6 10:01:59.772: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 516 msec (runtime: 516 msec) to process a 'stack chasfs fd' message
Aug  6 09:51:59,10.1.1.16,446491,*Aug  6 10:03:42.770: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 340 msec (runtime: 340 msec) to process a 'stack chasfs fd' message
Aug  6 09:53:43,10.1.1.16,446492,*Aug  6 10:05:26.101: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 292 msec (runtime: 292 msec) to process a 'stack chasfs fd' message
Aug  6 09:53:45,10.1.1.16,446493,*Aug  6 10:05:28.888: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1008 msec (runtime: 1008 msec) to process a 'stack chasfs fd' message
Aug  6 09:54:36,10.1.1.16,446494,*Aug  6 10:06:20.126: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 520 msec (runtime: 520 msec) to process a 'stack chasfs fd' message
Aug  6 09:55:30,10.1.1.16,446496,*Aug  6 10:07:14.488: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1040 msec (runtime: 1040 msec) to process a 'stack chasfs fd' message
Aug  6 09:55:30,10.1.1.16,446495,*Aug  6 10:07:12.215: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 956 msec (runtime: 952 msec) to process a 'stack chasfs fd' message
Aug  6 09:56:22,10.1.1.16,446497,*Aug  6 10:08:05.732: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 720 msec (runtime: 716 msec) to process a 'stack chasfs fd' message
Aug  6 09:58:05,10.1.1.16,446498,*Aug  6 10:09:49.257: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 876 msec (runtime: 876 msec) to process a 'stack chasfs fd' message
Aug  6 09:58:57,10.1.1.16,446499,*Aug  6 10:10:40.496: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 424 msec (runtime: 424 msec) to process a 'stack chasfs fd' message
Aug  6 09:59:49,10.1.1.16,446500,*Aug  6 10:11:32.771: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1012 msec (runtime: 988 msec) to process a 'stack chasfs fd' message
Aug  6 10:00:40,10.1.1.16,446501,*Aug  6 10:12:23.826: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 380 msec (runtime: 380 msec) to process a 'stack chasfs fd' message
Aug  6 10:01:32,10.1.1.16,446502,*Aug  6 10:13:15.581: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 464 msec (runtime: 464 msec) to process a 'stack chasfs fd' message
Aug  6 10:03:16,10.1.1.16,446503,*Aug  6 10:14:59.627: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 508 msec (runtime: 508 msec) to process a 'stack chasfs fd' message
Aug  6 10:04:09,10.1.1.16,446504,*Aug  6 10:15:53.137: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 268 msec (runtime: 268 msec) to process a 'stack chasfs fd' message
Aug  6 10:05:02,10.1.1.16,446505,*Aug  6 10:16:45.415: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 520 msec (runtime: 520 msec) to process a 'stack chasfs fd' message
Aug  6 10:06:45,10.1.1.16,446506,*Aug  6 10:18:28.932: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 856 msec (runtime: 848 msec) to process a 'stack chasfs fd' message
Aug  6 10:07:38,10.1.1.16,446507,*Aug  6 10:19:22.257: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 416 msec (runtime: 416 msec) to process a 'stack chasfs fd' message
Aug  6 10:08:31,10.1.1.16,446508,*Aug  6 10:20:14.351: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 824 msec (runtime: 800 msec) to process a 'stack chasfs fd' message
Aug  6 10:09:26,10.1.1.16,446509,*Aug  6 10:21:08.717: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 608 msec (runtime: 600 msec) to process a 'stack chasfs fd' message
Aug  6 10:10:19,10.1.1.16,446510,*Aug  6 10:22:02.744: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 788 msec (runtime: 788 msec) to process a 'stack chasfs fd' message
Aug  6 10:12:04,10.1.1.16,446511,*Aug  6 10:23:48.364: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 728 msec (runtime: 728 msec) to process a 'stack chasfs fd' message
Aug  6 10:13:48,10.1.1.16,446512,*Aug  6 10:25:31.698: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 436 msec (runtime: 436 msec) to process a 'stack chasfs fd' message
Aug  6 10:14:40,10.1.1.16,446513,*Aug  6 10:26:23.977: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 992 msec (runtime: 972 msec) to process a 'stack chasfs fd' message
Aug  6 10:15:34,10.1.1.16,446514,*Aug  6 10:27:17.481: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 316 msec (runtime: 316 msec) to process a 'stack chasfs fd' message
Aug  6 10:16:26,10.1.1.16,446515,*Aug  6 10:28:09.768: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 904 msec (runtime: 904 msec) to process a 'stack chasfs fd' message
Aug  6 10:17:17,10.1.1.16,446516,*Aug  6 10:29:01.005: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 464 msec (runtime: 464 msec) to process a 'stack chasfs fd' message
Aug  6 10:18:07,10.1.1.16,446517,*Aug  6 10:29:50.243: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: divakard] [Source: 10.110.5.157] [localport: 22] at 13:29:50 KSA Wed Aug 6 2025
Aug  6 10:19:01,10.1.1.16,446518,*Aug  6 10:30:44.343: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 424 msec (runtime: 424 msec) to process a 'stack chasfs fd' message
Aug  6 10:19:54,10.1.1.16,446519,*Aug  6 10:31:36.619: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 984 msec (runtime: 968 msec) to process a 'stack chasfs fd' message
Aug  6 10:20:48,10.1.1.16,446520,*Aug  6 10:32:32.208: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 320 msec (runtime: 320 msec) to process a 'stack chasfs fd' message
Aug  6 10:22:35,10.1.1.16,446521,*Aug  6 10:34:18.845: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1040 msec (runtime: 1028 msec) to process a 'stack chasfs fd' message
Aug  6 10:25:10,10.1.1.16,446522,*Aug  6 10:36:53.417: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 516 msec (runtime: 516 msec) to process a 'stack chasfs fd' message
Aug  6 10:26:03,10.1.1.16,446523,*Aug  6 10:37:46.937: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 268 msec (runtime: 268 msec) to process a 'stack chasfs fd' message
Aug  6 10:26:55,10.1.1.16,446524,*Aug  6 10:38:38.692: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 328 msec (runtime: 324 msec) to process a 'stack chasfs fd' message
Aug  6 10:27:47,10.1.1.16,446525,*Aug  6 10:39:30.981: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 936 msec (runtime: 936 msec) to process a 'stack chasfs fd' message
Aug  6 10:27:51,10.1.1.16,446526,"*Aug  6 10:39:34.980: %SYS-6-TTY_EXPIRE_TIMER: (exec timer expired, tty 2 (10.110.5.157)), user divakard"
Aug  6 10:27:51,10.1.1.16,446527,*Aug  6 10:39:34.981: %SYS-6-LOGOUT: User divakard has exited tty session 2(10.110.5.157)
